============================= test session starts ==============================
platform linux -- Python 3.12.3, pytest-9.0.2, pluggy-1.6.0 -- /home/spa/tobit-spa-ai/apps/api/.venv/bin/python3.12
cachedir: .pytest_cache
rootdir: /home/spa/tobit-spa-ai/apps/api
configfile: pytest.ini
testpaths: tests
plugins: anyio-4.12.1, langsmith-0.6.3, asyncio-1.3.0
tests/test_asset_models.py::TestResolverAsset::test_resolver_rule_with_alias PASSED [  9%]
tests/test_asset_models.py::TestResolverAsset::test_resolver_config_creation PASSED [  9%]
tests/test_asset_models.py::TestResolverAsset::test_resolver_config_get_rule_by_name PASSED [ 10%]
tests/test_asset_models.py::TestResolverAsset::test_resolver_config_get_rules_by_type PASSED [ 10%]
tests/test_asset_models.py::TestResolverAsset::test_resolver_config_add_remove_rule PASSED [ 10%]
tests/test_asset_models.py::TestResolverAsset::test_resolver_asset_creation PASSED [ 10%]
tests/test_asset_models.py::TestResolverAsset::test_rule_priority_ordering PASSED [ 11%]
tests/test_asset_models.py::TestAssetIntegration::test_source_to_schema_reference PASSED [ 11%]
tests/test_asset_models.py::TestAssetIntegration::test_resolver_with_multiple_rule_types PASSED [ 11%]
tests/test_audit_log.py::test_list_audit_logs_returns_matching_entries FAILED [ 11%]
tests/test_audit_log.py::test_get_audit_logs_by_trace_and_parent FAILED  [ 12%]
tests/test_chat_stream.py::test_chat_stream_returns_answer_chunk PASSED  [ 12%]
tests/test_ci_exact_candidate.py::test_find_exact_candidate_matches_ci_name_case_insensitive PASSED [ 12%]
tests/test_ci_exact_candidate.py::test_find_exact_candidate_matches_ci_code PASSED [ 13%]
tests/test_ci_exact_candidate.py::test_find_exact_candidate_returns_none_when_no_exact_match PASSED [ 13%]
tests/test_ci_list_llm_output.py::test_llm_list_payload_forces_list_intent PASSED [ 13%]
tests/test_ci_list_llm_output.py::test_llm_list_default_limit_applies PASSED [ 13%]
tests/test_ci_management.py::TestCIChangeCreation::test_create_change_basic ERROR [ 14%]
tests/test_ci_management.py::TestCIChangeCreation::test_create_change_minimal ERROR [ 14%]
tests/test_ci_management.py::TestCIChangeCreation::test_create_change_all_types ERROR [ 14%]
tests/test_ci_management.py::TestCIChangeCreation::test_get_change_by_id ERROR [ 14%]
tests/test_ci_management.py::TestCIChangeCreation::test_get_change_not_found ERROR [ 15%]
tests/test_ci_management.py::TestCIChangeCreation::test_list_changes_all ERROR [ 15%]
tests/test_ci_management.py::TestCIChangeCreation::test_list_changes_filter_by_ci_id ERROR [ 15%]
tests/test_ci_management.py::TestCIChangeCreation::test_list_changes_filter_by_status ERROR [ 15%]
tests/test_ci_management.py::TestCIChangeCreation::test_list_changes_pagination ERROR [ 16%]
tests/test_ci_management.py::TestCIChangeApproval::test_approve_change ERROR [ 16%]
tests/test_ci_management.py::TestCIChangeApproval::test_reject_change ERROR [ 16%]
tests/test_ci_management.py::TestCIChangeApproval::test_approve_non_existent_change ERROR [ 16%]
tests/test_ci_management.py::TestCIChangeApproval::test_apply_change ERROR [ 17%]
tests/test_ci_management.py::TestCIChangeApproval::test_apply_unapproved_change_fails ERROR [ 17%]
tests/test_ci_management.py::TestCIChangeHistory::test_get_change_history_single_ci ERROR [ 17%]
tests/test_ci_management.py::TestCIChangeHistory::test_change_history_counts ERROR [ 17%]
tests/test_ci_management.py::TestCIChangeHistory::test_change_history_pending_approvals ERROR [ 18%]
tests/test_ci_management.py::TestCIIntegrityValidation::test_create_integrity_issue ERROR [ 18%]
tests/test_ci_management.py::TestCIIntegrityValidation::test_get_integrity_issues ERROR [ 18%]
tests/test_ci_management.py::TestCIIntegrityValidation::test_filter_integrity_issues_unresolved ERROR [ 18%]
tests/test_ci_management.py::TestCIIntegrityValidation::test_resolve_integrity_issue ERROR [ 19%]
tests/test_ci_management.py::TestCIIntegrityValidation::test_validate_ci_integrity ERROR [ 19%]
tests/test_ci_management.py::TestCIIntegrityValidation::test_get_integrity_summary ERROR [ 19%]
tests/test_ci_management.py::TestCIDuplicateDetection::test_create_duplicate_entry ERROR [ 19%]
tests/test_ci_management.py::TestCIDuplicateDetection::test_get_duplicates_for_ci ERROR [ 20%]
tests/test_ci_management.py::TestCIDuplicateDetection::test_confirm_duplicate ERROR [ 20%]
tests/test_ci_management.py::TestCIDuplicateDetection::test_duplicate_statistics ERROR [ 20%]
tests/test_ci_management.py::TestCIChangeStatistics::test_get_change_statistics ERROR [ 20%]
tests/test_ci_management.py::TestCIChangeStatistics::test_change_statistics_time_range ERROR [ 21%]
tests/test_ci_management.py::TestCIIntegrationWorkflow::test_complete_change_workflow ERROR [ 21%]
tests/test_ci_management.py::TestCIIntegrationWorkflow::test_duplicate_detection_to_merge_workflow ERROR [ 21%]
tests/test_ci_management.py::TestCIIntegrationWorkflow::test_integrity_validation_workflow ERROR [ 21%]
tests/test_ci_management.py::TestTenantIsolation::test_changes_isolated_by_tenant ERROR [ 22%]
tests/test_ci_management.py::TestTenantIsolation::test_issues_isolated_by_tenant ERROR [ 22%]
tests/test_ci_management.py::TestTenantIsolation::test_duplicates_isolated_by_tenant ERROR [ 22%]
tests/test_ci_runner_tool_contracts.py::TestToolCallContract::test_tool_call_creation PASSED [ 22%]
tests/test_ci_runner_tool_contracts.py::TestToolCallContract::test_tool_call_with_error PASSED [ 23%]
tests/test_ci_runner_tool_contracts.py::TestToolCallContract::test_tool_call_serialization PASSED [ 23%]
tests/test_ci_runner_tool_contracts.py::TestToolCallContract::test_tool_call_default_values PASSED [ 23%]
tests/test_ci_runner_tool_contracts.py::TestToolCallTrace::test_multiple_tool_calls_accumulation PASSED [ 23%]
tests/test_ci_runner_tool_contracts.py::TestToolCallTrace::test_tool_calls_with_errors PASSED [ 24%]
tests/test_ci_runner_tool_contracts.py::TestReferenceExtraction::test_extract_references_from_dict_blocks PASSED [ 24%]
tests/test_ci_runner_tool_contracts.py::TestReferenceExtraction::test_no_references_in_blocks PASSED [ 24%]
tests/test_ci_runner_tool_contracts.py::TestReferenceExtraction::test_multiple_reference_blocks PASSED [ 25%]
tests/test_control_loop.py::TestControlLoopPolicy::test_policy_creation PASSED [ 25%]
tests/test_control_loop.py::TestControlLoopPolicy::test_policy_defaults PASSED [ 25%]
tests/test_control_loop.py::TestControlLoopPolicy::test_policy_validation_success PASSED [ 25%]
tests/test_control_loop.py::TestControlLoopPolicy::test_policy_validation_negative_max_replans PASSED [ 26%]
tests/test_control_loop.py::TestControlLoopPolicy::test_policy_validation_negative_interval PASSED [ 26%]
tests/test_control_loop.py::TestControlLoopPolicy::test_policy_validation_negative_cooling_period PASSED [ 26%]
tests/test_control_loop.py::TestControlLoopPolicy::test_policy_validation_interval_greater_than_cooling PASSED [ 26%]
tests/test_control_loop.py::TestControlLoopRuntime::test_runtime_creation PASSED [ 27%]
tests/test_control_loop.py::TestControlLoopRuntime::test_should_replan_allowed_trigger PASSED [ 27%]
tests/test_control_loop.py::TestControlLoopRuntime::test_should_replan_disallowed_trigger PASSED [ 27%]
tests/test_control_loop.py::TestControlLoopRuntime::test_should_replan_max_replans_exceeded PASSED [ 27%]
tests/test_control_loop.py::TestControlLoopRuntime::test_should_replan_min_interval_not_met PASSED [ 28%]
tests/test_control_loop.py::TestControlLoopRuntime::test_should_replan_cooling_period_active PASSED [ 28%]
tests/test_control_loop.py::TestControlLoopRuntime::test_should_replan_critical_severity_override PASSED [ 28%]
tests/test_control_loop.py::TestControlLoopRuntime::test_record_replan PASSED [ 28%]
tests/test_control_loop.py::TestControlLoopRuntime::test_trigger_counts_tracking PASSED [ 29%]
tests/test_control_loop.py::TestControlLoopRuntime::test_get_stats PASSED [ 29%]
tests/test_control_loop.py::TestControlLoopRuntime::test_should_replan_with_string_trigger PASSED [ 29%]
tests/test_control_loop.py::TestControlLoopRuntime::test_multiple_replans_sequence PASSED [ 29%]
tests/test_control_loop.py::TestReplanEventSchema::test_replan_event_creation PASSED [ 30%]
tests/test_control_loop.py::TestReplanEventSchema::test_replan_patch_diff PASSED [ 30%]
tests/test_control_loop.py::TestReplanEventSchema::test_replan_trigger_structure PASSED [ 30%]
tests/test_documents.py::test_upload_creates_metadata_and_list ERROR     [ 30%]
tests/test_documents.py::test_document_stream_done_contains_references ERROR [ 31%]
tests/test_encryption.py::TestEncryptionManager::test_generate_key PASSED [ 31%]
tests/test_encryption.py::TestEncryptionManager::test_encrypt_plaintext PASSED [ 31%]
tests/test_encryption.py::TestEncryptionManager::test_decrypt_ciphertext PASSED [ 31%]
tests/test_encryption.py::TestEncryptionManager::test_encrypt_decrypt_roundtrip PASSED [ 32%]
tests/test_encryption.py::TestEncryptionManager::test_encrypt_none_raises_error PASSED [ 32%]
tests/test_encryption.py::TestEncryptionManager::test_decrypt_none_raises_error PASSED [ 32%]
tests/test_encryption.py::TestEncryptionManager::test_decrypt_invalid_ciphertext_raises_error PASSED [ 32%]
tests/test_encryption.py::TestEncryptionManager::test_different_keys_cannot_decrypt PASSED [ 33%]
tests/test_encryption.py::TestEncryptionManager::test_encryption_is_deterministic PASSED [ 33%]
tests/test_encryption.py::TestEncryptionManager::test_derive_key_from_password PASSED [ 33%]
tests/test_encryption.py::TestEncryptionManager::test_password_derived_key_works PASSED [ 33%]
tests/test_encryption.py::TestEncryptionManager::test_encryption_manager_initialization_without_key_raises_error PASSED [ 34%]
tests/test_encryption.py::TestEncryptionManager::test_encryption_manager_with_invalid_key_raises_error PASSED [ 34%]
tests/test_encryption.py::TestEncryptionManager::test_encrypt_empty_string PASSED [ 34%]
tests/test_encryption.py::TestEncryptionManager::test_encrypt_very_long_string PASSED [ 34%]
tests/test_encryption.py::TestUserEncryption::test_user_set_get_email PASSED [ 35%]
tests/test_encryption.py::TestUserEncryption::test_user_set_get_phone PASSED [ 35%]
tests/test_encryption.py::TestUserEncryption::test_user_set_empty_email PASSED [ 35%]
tests/test_encryption.py::TestUserEncryption::test_user_set_none_phone PASSED [ 35%]
tests/test_encryption.py::TestApiKeyEncryption::test_api_key_encrypt_hash PASSED [ 36%]
tests/test_encryption.py::TestApiKeyEncryption::test_api_key_decrypt_hash PASSED [ 36%]
tests/test_health.py::test_health_endpoint_structure PASSED              [ 36%]
tests/test_hello.py::test_hello_endpoint_structure PASSED                [ 36%]
tests/test_hello.py::test_hello_endpoint_invalid_method PASSED           [ 37%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_detect_metric_query PASSED [ 37%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_detect_graph_query PASSED [ 37%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_detect_history_query PASSED [ 38%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_detect_ci_query PASSED [ 38%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_detect_conditional_query PASSED [ 38%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_detect_composite_query PASSED [ 38%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_calculate_simple_complexity PASSED [ 39%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_calculate_complex_complexity PASSED [ 39%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_decompose_composite_query PASSED [ 39%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_determine_tools_metric PASSED [ 39%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_determine_tools_graph PASSED [ 40%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_extract_conditions_if_then PASSED [ 40%]
tests/test_langgraph_advanced.py::TestQueryAnalyzer::test_analyze_full_query PASSED [ 40%]
tests/test_langgraph_advanced.py::TestConditionalRouter::test_should_execute_default PASSED [ 40%]
tests/test_langgraph_advanced.py::TestConditionalRouter::test_should_execute_respects_depth_limit PASSED [ 41%]
tests/test_langgraph_advanced.py::TestConditionalRouter::test_choose_path_first_option PASSED [ 41%]
tests/test_langgraph_advanced.py::TestConditionalRouter::test_evaluate_condition_error PASSED [ 41%]
tests/test_langgraph_advanced.py::TestConditionalRouter::test_evaluate_condition_empty PASSED [ 41%]
tests/test_langgraph_advanced.py::TestConditionalRouter::test_evaluate_condition_complex PASSED [ 42%]
tests/test_langgraph_advanced.py::TestToolComposer::test_register_tool PASSED [ 42%]
tests/test_langgraph_advanced.py::TestToolComposer::test_compose_single_tool PASSED [ 42%]
tests/test_langgraph_advanced.py::TestToolComposer::test_compose_multiple_tools PASSED [ 42%]
tests/test_langgraph_advanced.py::TestToolComposer::test_compose_nonexistent_tool PASSED [ 43%]
tests/test_langgraph_advanced.py::TestToolComposer::test_compose_with_dependencies_simple PASSED [ 43%]
tests/test_langgraph_advanced.py::TestToolComposer::test_compose_with_dependencies_multiple PASSED [ 43%]
tests/test_langgraph_advanced.py::TestLangGraphAdvancedRunner::test_initialization PASSED [ 43%]
tests/test_langgraph_advanced.py::TestLangGraphAdvancedRunner::test_missing_api_key PASSED [ 44%]
tests/test_langgraph_advanced.py::TestLangGraphAdvancedRunner::test_run_simple_query PASSED [ 44%]
tests/test_langgraph_advanced.py::TestLangGraphAdvancedRunner::test_run_complex_query PASSED [ 44%]
tests/test_langgraph_advanced.py::TestLangGraphAdvancedRunner::test_run_with_depth_limit PASSED [ 44%]
tests/test_langgraph_advanced.py::TestLangGraphAdvancedRunner::test_run_sequential_mode PASSED [ 45%]
tests/test_langgraph_advanced.py::TestLangGraphAdvancedRunner::test_run_parallel_mode PASSED [ 45%]
tests/test_langgraph_advanced.py::TestLangGraphAdvancedRunner::test_run_hybrid_mode PASSED [ 45%]
tests/test_langgraph_advanced.py::TestLangGraphAdvancedRunner::test_execute_simple_returns_blocks PASSED [ 45%]
tests/test_langgraph_advanced.py::TestLangGraphAdvancedRunner::test_execute_decomposed_returns_blocks PASSED [ 46%]
tests/test_langgraph_advanced.py::TestLangGraphAdvancedRunner::test_build_summary_block PASSED [ 46%]
tests/test_langgraph_advanced.py::TestExecutionState::test_execution_state_creation PASSED [ 46%]
tests/test_langgraph_advanced.py::TestExecutionState::test_execution_state_tracking PASSED [ 46%]
tests/test_langgraph_advanced.py::TestIntegration::test_full_workflow_simple_to_complex PASSED [ 47%]
tests/test_langgraph_advanced.py::TestIntegration::test_query_analysis_to_execution PASSED [ 47%]
tests/test_migration_final.py::test_streaming_migration PASSED           [ 47%]
tests/test_migration_final.py::test_embedding_migration PASSED           [ 47%]
tests/test_migration_final.py::test_llm_client_output_parsing PASSED     [ 48%]
tests/test_openai.py::test_openai_stream_hello PASSED                    [ 48%]
tests/test_operation_settings.py::test_get_all_operation_settings FAILED [ 48%]
tests/test_operation_settings.py::test_get_ops_mode_setting FAILED       [ 48%]
tests/test_operation_settings.py::test_get_unknown_setting PASSED        [ 49%]
tests/test_operation_settings.py::test_update_ops_mode_setting FAILED    [ 49%]
tests/test_operation_settings.py::test_update_setting_with_invalid_value PASSED [ 49%]
tests/test_operation_settings.py::test_update_setting_with_wrong_type PASSED [ 50%]
tests/test_operation_settings.py::test_update_boolean_setting FAILED     [ 50%]
tests/test_operation_settings.py::test_setting_persistence_across_requests FAILED [ 50%]
tests/test_operation_settings.py::test_setting_missing_value_field PASSED [ 50%]
tests/test_ops_executor_tool_contracts.py::TestExecutorResultStructure::test_executor_result_creation PASSED [ 51%]
tests/test_ops_executor_tool_contracts.py::TestExecutorResultStructure::test_executor_result_with_defaults PASSED [ 51%]
tests/test_ops_executor_tool_contracts.py::TestExecutorResultStructure::test_executor_result_serialization PASSED [ 51%]
tests/test_ops_executor_tool_contracts.py::TestMetricExecutorToolContract::test_metric_executor_structure_can_be_verified PASSED [ 51%]
tests/test_ops_executor_tool_contracts.py::TestMetricExecutorToolContract::test_hist_executor_structure_can_be_verified PASSED [ 52%]
tests/test_ops_executor_tool_contracts.py::TestHistExecutorToolContract::test_hist_executor_can_be_imported PASSED [ 52%]
tests/test_ops_executor_tool_contracts.py::TestGraphExecutorToolContract::test_graph_executor_can_be_imported PASSED [ 52%]
tests/test_ops_executor_tool_contracts.py::TestExecutorBackwardCompatibility::test_normalize_real_result_with_executor_result PASSED [ 52%]
tests/test_ops_executor_tool_contracts.py::TestExecutorBackwardCompatibility::test_normalize_real_result_with_legacy_tuple PASSED [ 53%]
tests/test_ops_executor_tool_contracts.py::TestExecutorBackwardCompatibility::test_normalize_real_result_with_legacy_tuple_and_error PASSED [ 53%]
tests/test_ops_executor_tool_contracts.py::TestToolCallSerialization::test_executor_result_tool_calls_serialize_correctly PASSED [ 53%]
tests/test_ops_executor_tool_contracts.py::TestReferenceExtraction::test_reference_extraction_from_references_block PASSED [ 53%]
tests/test_ops_executor_tool_contracts.py::TestReferenceExtraction::test_empty_references_handling PASSED [ 54%]
tests/test_ops_resolvers.py::test_ci_resolver_exact_code PASSED          [ 54%]
tests/test_ops_resolvers.py::test_ci_resolver_name_fallback PASSED       [ 54%]
tests/test_ops_resolvers.py::test_metric_resolver_cpu PASSED             [ 54%]
tests/test_ops_resolvers.py::test_time_range_last_7_days PASSED          [ 55%]
tests/test_ops_resolvers.py::test_time_range_month_2025_12 PASSED        [ 55%]
tests/test_ops_service.py::test_handle_ops_query_mock_mode_uses_mock_blocks PASSED [ 55%]
tests/test_ops_service.py::test_handle_ops_query_real_mode_fallbacks_and_flags_error PASSED [ 55%]
tests/test_ops_service.py::test_ops_metric_real_blocks_shape PASSED      [ 56%]
tests/test_ops_service.py::test_ops_hist_real_blocks_shape PASSED        [ 56%]
tests/test_ops_service.py::test_ops_graph_real_blocks_shape PASSED       [ 56%]
tests/test_ops_service.py::test_ops_all_real_blocks_shape FAILED         [ 56%]
tests/test_ops_service.py::test_ops_all_langgraph_without_key_falls_back FAILED [ 57%]
tests/test_ops_service.py::test_ops_all_partial_failure FAILED           [ 57%]
tests/test_ops_service.py::test_ops_config_placeholder PASSED            [ 57%]
tests/test_ops_service.py::test_ops_config_real_blocks_shape PASSED      [ 57%]
tests/test_permissions.py::TestRolePermissions::test_admin_permissions PASSED [ 58%]
tests/test_permissions.py::TestRolePermissions::test_manager_permissions FAILED [ 58%]
tests/test_permissions.py::TestRolePermissions::test_developer_permissions PASSED [ 58%]
tests/test_permissions.py::TestRolePermissions::test_viewer_permissions PASSED [ 58%]
tests/test_permissions.py::TestRolePermissions::test_initialize_role_permissions ERROR [ 59%]
tests/test_permissions.py::TestPermissionChecks::test_admin_check_permission ERROR [ 59%]
tests/test_permissions.py::TestPermissionChecks::test_developer_can_create_api ERROR [ 59%]
tests/test_permissions.py::TestPermissionChecks::test_developer_cannot_delete_api ERROR [ 59%]
tests/test_permissions.py::TestPermissionChecks::test_viewer_can_read ERROR [ 60%]
tests/test_permissions.py::TestPermissionChecks::test_viewer_cannot_write ERROR [ 60%]
tests/test_permissions.py::TestResourcePermissions::test_grant_resource_permission ERROR [ 60%]
tests/test_permissions.py::TestResourcePermissions::test_grant_resource_type_permission ERROR [ 60%]
tests/test_permissions.py::TestResourcePermissions::test_check_resource_specific_permission ERROR [ 61%]
tests/test_permissions.py::TestResourcePermissions::test_check_resource_type_permission ERROR [ 61%]
tests/test_permissions.py::TestResourcePermissions::test_revoke_resource_permission ERROR [ 61%]
tests/test_permissions.py::TestPermissionExpiration::test_expired_permission_denied ERROR [ 61%]
tests/test_permissions.py::TestPermissionExpiration::test_future_permission_allowed ERROR [ 62%]
tests/test_permissions.py::TestListPermissions::test_list_user_permissions ERROR [ 62%]
tests/test_plan_multistep.py::TestBudgetSpec::test_budget_spec_defaults PASSED [ 62%]
tests/test_plan_multistep.py::TestBudgetSpec::test_budget_spec_custom_values PASSED [ 63%]
tests/test_plan_multistep.py::TestStepCondition::test_step_condition_equality PASSED [ 63%]
tests/test_plan_multistep.py::TestStepCondition::test_step_condition_numeric_value PASSED [ 63%]
tests/test_plan_multistep.py::TestPlanStep::test_plan_step_minimal PASSED [ 63%]
tests/test_plan_multistep.py::TestPlanStep::test_plan_step_with_navigation PASSED [ 64%]
tests/test_plan_multistep.py::TestPlanStep::test_plan_step_with_condition PASSED [ 64%]
tests/test_plan_multistep.py::TestPlanBranch::test_plan_branch_creation PASSED [ 64%]
tests/test_plan_multistep.py::TestPlanBranch::test_plan_branch_with_steps PASSED [ 64%]
tests/test_plan_multistep.py::TestPlanLoop::test_plan_loop_creation PASSED [ 65%]
tests/test_plan_multistep.py::TestPlanLoop::test_plan_loop_with_break_condition PASSED [ 65%]
tests/test_plan_multistep.py::TestPlanMultiStep::test_plan_single_step_execution PASSED [ 65%]
tests/test_plan_multistep.py::TestPlanMultiStep::test_plan_multi_step_sequence PASSED [ 65%]
tests/test_plan_multistep.py::TestPlanMultiStep::test_plan_with_branches PASSED [ 66%]
tests/test_plan_multistep.py::TestPlanMultiStep::test_plan_with_loops PASSED [ 66%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_simple_plan_success PASSED [ 66%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_duplicate_step_ids_fails PASSED [ 66%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_invalid_next_step_reference_fails PASSED [ 67%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_budget_exceeded_fails PASSED [ 67%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_with_custom_budget PASSED [ 67%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_multistep_disabled PASSED [ 67%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_complex_plan PASSED [ 68%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_timeout_invalid_range PASSED [ 68%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_timeout_exceeds_maximum PASSED [ 68%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_timeout_valid_range PASSED [ 68%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_max_depth_invalid_range PASSED [ 69%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_max_depth_exceeds_maximum PASSED [ 69%]
tests/test_plan_multistep.py::TestPlanValidation::test_validate_max_depth_valid_range PASSED [ 69%]
tests/test_screen_editor_auth.py::TestScreenEditorAuth::test_save_draft_requires_auth FAILED [ 69%]
tests/test_screen_editor_auth.py::TestScreenEditorAuth::test_save_draft_with_valid_token SKIPPED [ 70%]
tests/test_screen_editor_auth.py::TestScreenEditorAuth::test_invalid_token_rejected FAILED [ 70%]
tests/test_screen_editor_auth.py::TestScreenEditorAuth::test_missing_authorization_header_error FAILED [ 70%]
tests/test_screen_editor_auth.py::TestScreenEditorAuth::test_publish_requires_auth SKIPPED [ 70%]
tests/test_screen_editor_auth.py::TestScreenEditorAuth::test_rollback_requires_auth SKIPPED [ 71%]
tests/test_screen_editor_auth.py::TestScreenEditorAuthFlow::test_complete_screen_save_workflow SKIPPED [ 71%]
tests/test_screen_editor_auth.py::TestScreenEditorAuthFlow::test_publish_invalid_asset_returns_validation_error SKIPPED [ 71%]
tests/test_screen_editor_auth.py::TestScreenEditorAuthFlow::test_stage_published_endpoint_blocks_drafts SKIPPED [ 71%]
tests/test_screen_editor_auth.py::TestScreenEditorAuthFlow::test_token_in_authorization_header SKIPPED [ 72%]
tests/test_security_headers.py::TestSecurityHeaders::test_hsts_header_present PASSED [ 72%]
tests/test_security_headers.py::TestSecurityHeaders::test_hsts_include_subdomains PASSED [ 72%]
tests/test_security_headers.py::TestSecurityHeaders::test_csp_header_present PASSED [ 72%]
tests/test_security_headers.py::TestSecurityHeaders::test_x_frame_options_header PASSED [ 73%]
tests/test_security_headers.py::TestSecurityHeaders::test_x_content_type_options_header PASSED [ 73%]
tests/test_security_headers.py::TestSecurityHeaders::test_x_xss_protection_header PASSED [ 73%]
tests/test_security_headers.py::TestSecurityHeaders::test_referrer_policy_header PASSED [ 73%]
tests/test_security_headers.py::TestSecurityHeaders::test_permissions_policy_header PASSED [ 74%]
tests/test_security_headers.py::TestSecurityHeaders::test_headers_disabled PASSED [ 74%]
tests/test_security_headers.py::TestHTTPSRedirect::test_http_to_https_redirect PASSED [ 74%]
tests/test_security_headers.py::TestHTTPSRedirect::test_health_check_no_redirect PASSED [ 75%]
tests/test_security_headers.py::TestHTTPSRedirect::test_no_redirect_in_dev PASSED [ 75%]
